algo_type; power_n; time
conv;2;0.093;
conv;2;0.051;
conv;2;0.0511;
conv;2;0.0501;
conv;2;0.1282;
conv;2;0.0509;
conv;2;0.051;
conv;2;0.0503;
conv;2;0.0504;
conv;2;0.0539;
strassen;2;0.878;
strassen;2;0.3508;
strassen;2;0.3874;
strassen;2;0.3725;
strassen;2;0.3136;
strassen;2;0.2995;
strassen;2;0.2793;
strassen;2;0.3236;
strassen;2;0.2793;
strassen;2;0.3085;
strassenSeuil;2;0.1613;
strassenSeuil;2;0.1451;
strassenSeuil;2;0.1683;
strassenSeuil;2;0.2607;
strassenSeuil;2;0.1734;
strassenSeuil;2;0.1408;
strassenSeuil;2;0.1427;
strassenSeuil;2;0.1457;
strassenSeuil;2;0.1406;
strassenSeuil;2;0.14;
conv;3;0.3149;
conv;3;0.3175;
conv;3;0.3482;
conv;3;0.3881;
conv;3;0.328;
conv;3;0.3393;
conv;3;0.4357;
conv;3;0.3286;
conv;3;0.3691;
conv;3;0.3154;
strassen;3;2.3688;
strassen;3;2.2386;
strassen;3;1.923;
strassen;3;1.843;
strassen;3;1.7872;
strassen;3;1.8005;
strassen;3;1.8737;
strassen;3;1.9341;
strassen;3;1.7958;
strassen;3;1.8746;
strassenSeuil;3;1.2476;
strassenSeuil;3;1.1227;
strassenSeuil;3;0.8604;
strassenSeuil;3;0.8932;
strassenSeuil;3;0.8152;
strassenSeuil;3;0.9511;
strassenSeuil;3;0.8341;
strassenSeuil;3;0.8268;
strassenSeuil;3;0.9337;
strassenSeuil;3;0.8088;
conv;4;2.5965;
conv;4;2.5084;
conv;4;2.5747;
conv;4;2.5473;
conv;4;2.4784;
conv;4;2.4845;
conv;4;2.5333;
conv;4;4.6134;
conv;4;2.8835;
conv;4;2.4406;
strassen;4;12.8693;
strassen;4;12.8479;
strassen;4;12.9632;
strassen;4;13.9738;
strassen;4;12.805;
strassen;4;13.8188;
strassen;4;12.9265;
strassen;4;13.9813;
strassen;4;12.9489;
strassen;4;12.9599;
strassenSeuil;4;6.4215;
strassenSeuil;4;6.0732;
strassenSeuil;4;5.6627;
strassenSeuil;4;5.6193;
strassenSeuil;4;5.6426;
strassenSeuil;4;5.8375;
strassenSeuil;4;6.3731;
strassenSeuil;4;5.7415;
strassenSeuil;4;5.7497;
strassenSeuil;4;6.1426;
conv;5;22.0053;
conv;5;20.3604;
conv;5;20.63;
conv;5;19.7941;
conv;5;19.5598;
conv;5;20.1679;
conv;5;19.7732;
conv;5;19.8362;
conv;5;19.7455;
conv;5;21.4689;
strassen;5;87.6334;
strassen;5;88.3465;
strassen;5;94.6366;
strassen;5;90.9189;
strassen;5;90.0115;
strassen;5;94.022;
strassen;5;93.6656;
strassen;5;89.4731;
strassen;5;88.7632;
strassen;5;88.551;
strassenSeuil;5;41.1896;
strassenSeuil;5;40.9997;
strassenSeuil;5;40.5861;
strassenSeuil;5;40.8117;
strassenSeuil;5;47.1836;
strassenSeuil;5;40.4248;
strassenSeuil;5;41.0012;
strassenSeuil;5;40.0713;
strassenSeuil;5;40.9156;
strassenSeuil;5;40.2027;
conv;6;199.8469;
conv;6;161.0541;
conv;6;197.4452;
conv;6;160.2789;
conv;6;174.0249;
conv;6;163.5405;
conv;6;166.1031;
conv;6;162.0971;
conv;6;164.663;
conv;6;161.2706;
strassen;6;656.4193;
strassen;6;630.366;
strassen;6;621.4261;
strassen;6;630.8108;
strassen;6;626.4317;
strassen;6;676.5806;
strassen;6;631.3911;
strassen;6;622.3659;
strassen;6;620.9454;
strassen;6;872.2952;
strassenSeuil;6;409.5533;
strassenSeuil;6;403.1906;
strassenSeuil;6;381.6552;
strassenSeuil;6;310.9277;
strassenSeuil;6;318.2135;
strassenSeuil;6;301.0889;
strassenSeuil;6;296.2701;
strassenSeuil;6;306.4899;
strassenSeuil;6;302.5243;
strassenSeuil;6;305.2884;
conv;7;1375.6024;
conv;7;1353.4866;
conv;7;1345.3921;
conv;7;1346.4768;
conv;7;1402.6354;
conv;7;1320.3942;
conv;7;1334.7748;
conv;7;1349.6543;
conv;7;1337.4668;
conv;7;1330.5035;
strassen;7;4600.9238;
strassen;7;4603.9012;
strassen;7;4678.5128;
strassen;7;4820.1067;
strassen;7;4908.1875;
strassen;7;4941.5085;
strassen;7;5951.062;
strassen;7;5537.5836;
strassen;7;4733.0129;
strassen;7;5020.3743;
strassenSeuil;7;2200.8146;
strassenSeuil;7;2666.1582;
strassenSeuil;7;2109.2216;
strassenSeuil;7;2073.0206;
strassenSeuil;7;2126.1638;
strassenSeuil;7;2098.7072;
strassenSeuil;7;2066.7935;
strassenSeuil;7;2126.9411;
strassenSeuil;7;2307.2052;
strassenSeuil;7;2152.5231;
conv;8;10855.8868;
conv;8;10782.2869;
conv;8;10743.1772;
conv;8;10626.4463;
conv;8;10685.2221;
conv;8;10516.7278;
conv;8;10619.4053;
conv;8;10906.5932;
conv;8;10695.5284;
conv;8;10719.7042;
strassen;8;32066.3225;
strassen;8;32207.2099;
strassen;8;33157.2585;
strassen;8;32573.4608;
strassen;8;34477.1948;
strassen;8;32511.5983;
strassen;8;33338.8621;
strassen;8;31796.8567;
strassen;8;32678.5033;
strassen;8;31816.1317;
strassenSeuil;8;14577.4641;
strassenSeuil;8;14706.4492;
strassenSeuil;8;16215.3926;
strassenSeuil;8;16741.4121;
strassenSeuil;8;16036.2858;
strassenSeuil;8;15783.7592;
strassenSeuil;8;16508.2242;
strassenSeuil;8;16990.8524;
strassenSeuil;8;17643.2786;
strassenSeuil;8;19048.4465;
