algo_type; power_n; time
conv;4;4.4381;
conv;4;5.732;
conv;4;4.4854;
conv;4;6.0004;
conv;4;6.0578;
conv;4;5.3419;
conv;4;8.9212;
conv;4;6.3017;
conv;4;5.9997;
conv;4;5.3232;
strassen;4;67.9477;
strassen;4;26.3473;
strassen;4;24.4677;
strassen;4;25.6459;
strassen;4;24.6147;
strassen;4;39.8575;
strassen;4;23.3701;
strassen;4;29.9752;
strassen;4;28.0447;
strassen;4;25.6098;
strassenSeuil;4;11.6936;
strassenSeuil;4;11.03;
strassenSeuil;4;10.856;
strassenSeuil;4;11.3794;
strassenSeuil;4;14.1788;
strassenSeuil;4;11.9883;
strassenSeuil;4;12.4782;
strassenSeuil;4;11.3596;
strassenSeuil;4;21.0353;
strassenSeuil;4;25.9858;
conv;5;41.917;
conv;5;45.4745;
conv;5;38.0961;
conv;5;37.027;
conv;5;39.7193;
conv;5;35.1269;
conv;5;34.7466;
conv;5;34.7492;
conv;5;35.2332;
conv;5;35.0067;
strassen;5;205.5396;
strassen;5;177.9789;
strassen;5;179.8186;
strassen;5;365.0179;
strassen;5;287.5661;
strassen;5;173.3054;
strassen;5;200.7719;
strassen;5;340.357;
strassen;5;182.6431;
strassen;5;179.2383;
strassenSeuil;5;78.2189;
strassenSeuil;5;240.1102;
strassenSeuil;5;80.3986;
strassenSeuil;5;161.9602;
strassenSeuil;5;86.7347;
strassenSeuil;5;152.0767;
strassenSeuil;5;77.9425;
strassenSeuil;5;133.9758;
strassenSeuil;5;86.1405;
strassenSeuil;5;80.1925;
conv;6;429.9374;
conv;6;304.7976;
conv;6;282.6631;
conv;6;278.8202;
conv;6;277.1084;
conv;6;307.4639;
conv;6;273.2171;
conv;6;284.3574;
conv;6;287.5315;
conv;6;530.9091;
strassen;6;1467.8576;
strassen;6;1194.4121;
strassen;6;1399.3175;
strassen;6;1209.493;
strassen;6;1434.0016;
strassen;6;1456.2146;
strassen;6;1413.2598;
strassen;6;1531.7104;
strassen;6;1261.1297;
strassen;6;1421.0438;
strassenSeuil;6;566.5536;
strassenSeuil;6;562.0931;
strassenSeuil;6;558.7903;
strassenSeuil;6;713.2402;
strassenSeuil;6;879.1095;
strassenSeuil;6;814.4276;
strassenSeuil;6;669.9065;
strassenSeuil;6;595.7556;
strassenSeuil;6;554.8447;
strassenSeuil;6;1045.1615;
conv;7;3963.1494;
conv;7;2422.0627;
conv;7;2175.4314;
conv;7;2199.7149;
conv;7;2450.0957;
conv;7;2378.8746;
conv;7;2757.3022;
conv;7;2906.3595;
conv;7;3302.7466;
conv;7;2929.7525;
strassen;7;9530.6007;
strassen;7;9352.798;
strassen;7;10523.1815;
strassen;7;14847.0633;
strassen;7;9958.0659;
strassen;7;10330.3779;
strassen;7;9828.2005;
strassen;7;9989.0817;
strassen;7;9899.8246;
strassen;7;9537.8867;
strassenSeuil;7;4354.9052;
strassenSeuil;7;3977.4055;
strassenSeuil;7;4344.7261;
strassenSeuil;7;4891.2086;
strassenSeuil;7;4787.8425;
strassenSeuil;7;4113.768;
strassenSeuil;7;4219.8139;
strassenSeuil;7;4571.6597;
strassenSeuil;7;4670.3952;
strassenSeuil;7;4076.1906;
conv;8;19810.5262;
conv;8;17767.2601;
conv;8;17492.0408;
conv;8;17572.1394;
conv;8;17805.2403;
conv;8;17353.5237;
conv;8;17162.7622;
conv;8;17552.4182;
conv;8;17587.0615;
conv;8;17141.187;
strassen;8;57491.6021;
strassen;8;62497.3873;
strassen;8;57994.7669;
strassen;8;61391.8129;
strassen;8;56564.0665;
strassen;8;57123.1424;
strassen;8;56775.0436;
strassen;8;74935.41;
strassen;8;88562.9742;
