glouton; nb_vertices; time; nbColorUsed
glouton;20;3.7899;12
glouton;20;4.7925;12
glouton;20;3.4172;12
glouton;20;38.7644;12
glouton;20;6.0106;11
glouton;25;7.1355;14
glouton;25;37.2162;15
glouton;25;17.7017;14
glouton;25;11.4915;15
glouton;25;4.903;12
glouton;30;25.2011;17
glouton;30;12.3922;16
glouton;30;9.1048;17
glouton;30;12.468;18
glouton;30;8.1144;16
glouton;35;18.2652;19
glouton;35;14.4331;19
glouton;35;111.7908;17
glouton;35;15.1188;18
glouton;35;8.2912;17
glouton;40;43.4719;22
glouton;40;33.6237;22
glouton;40;25.7964;21
glouton;40;15.1842;20
glouton;40;12.2881;20
glouton;45;20.5633;24
glouton;45;20.0536;24
glouton;45;21.3252;24
glouton;45;33.575;21
glouton;45;19.5049;21
glouton;50;98.0723;26
glouton;50;93.5389;25
glouton;50;55.4062;23
glouton;50;64.6997;24
glouton;50;52.0174;22
